LSOA11CD,Employee
E01000001,12919 
E01000002,29878 
E01000003,976 
E01000005,18890 
E01000006,250 
E01000007,1612 
E01000008,1092 
E01000009,557 
E01000010,4186 
E01000011,189 
E01000012,246 
E01000013,545 
E01000014,191 
E01000015,534 
E01000016,254 
E01000017,221 
E01000018,216 
E01000019,315 
E01000020,237 
E01000021,313 
E01000022,113 
E01000023,185 
E01000024,131 
E01000025,154 
E01000027,542 
E01000028,169 
E01000029,155 
E01000030,264 
E01000031,469 
E01000032,741 
E01000033,125 
E01000034,698 
E01000035,1810 
E01000036,355 
E01000037,291 
E01000038,331 
E01000039,188 
E01000040,316 
E01000041,146 
E01000042,205 
E01000043,436 
E01000044,312 
E01000045,474 
E01000046,159 
E01000048,223 
E01000049,336 
E01000050,288 
E01000051,317 
E01000052,298 
E01000053,296 
E01000054,297 
E01000055,152 
E01000056,419 
E01000057,290 
E01000058,180 
E01000059,266 
E01000060,630 
E01000061,2274 
E01000062,212 
E01000063,185 
E01000064,423 
E01000065,860 
E01000066,586 
E01000067,199 
E01000068,396 
E01000069,200 
E01000070,429 
E01000071,486 
E01000072,222 
E01000073,272 
E01000074,291 
E01000075,250 
E01000076,186 
E01000077,272 
E01000078,282 
E01000079,279 
E01000080,367 
E01000081,151 
E01000082,252 
E01000083,161 
E01000084,260 
E01000085,374 
E01000086,200 
E01000087,4412 
E01000088,555 
E01000089,152 
E01000090,638 
E01000091,381 
E01000092,3650 
E01000093,547 
E01000094,622 
E01000095,3214 
E01000096,1084 
E01000097,246 
E01000098,315 
E01000099,846 
E01000100,257 
E01000101,228 
E01000102,283 
E01000103,239 
E01000104,187 
E01000105,434 
E01000106,473 
E01000107,291 
E01000108,329 
E01000109,276 
E01000110,242 
E01000111,1203 
E01000112,632 
E01000113,333 
E01000114,599 
E01000115,268 
E01000116,401 
E01000117,362 
E01000118,316 
E01000119,191 
E01000120,405 
E01000121,208 
E01000122,167 
E01000123,2374 
E01000124,710 
E01000125,1626 
E01000126,380 
E01000127,214 
E01000128,306 
E01000129,711 
E01000130,261 
E01000131,251 
E01000132,151 
E01000133,230 
E01000134,291 
E01000135,595 
E01000136,438 
E01000137,341 
